 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
40250,Anangu Pitjantjatjara ,0,0,0,0,0,0,377,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
41190,Cleve ,0,0,0,0,0,0,1976,0,0,0,4,0,0,3,3,0,0,0,0,3,0,0
41560,Copper Coast ,8,0,12,13,3,3,12521,0,10,3,42,3,3,16,0,0,3,29,7,17,3,0
41750,Elliston ,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42030,Gawler ,56,3,35,37,12,20,20551,23,21,3,191,3,9,70,22,0,21,69,38,57,0,3
42110,Goyder ,0,0,0,0,0,0,3749,0,14,0,10,0,0,3,0,0,0,0,3,14,0,0
42250,Grant ,0,0,0,6,0,0,6984,0,3,0,41,3,0,6,0,0,9,8,6,20,0,0
42750,Kangaroo Island ,6,0,3,0,0,14,4040,6,3,0,21,0,0,17,0,0,0,11,10,22,0,4
43080,Karoonda East Murray ,0,0,0,0,0,0,978,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
43650,Light ,16,0,12,6,0,9,13603,5,11,3,38,7,10,23,0,0,3,11,8,53,0,9
43710,Lower Eyre Peninsula ,0,0,3,0,0,3,4831,0,5,0,9,0,0,4,0,0,0,7,4,16,0,0
43790,Loxton Waikerie ,9,5,0,3,12,3,10199,8,9,9,59,3,0,29,4,0,4,111,11,21,0,7
